,"Type",2.011,2.010,2.008,2.009,2.009,2.009,"?",,,,,,,,,,,,,
,,"IEF_2011","HDI_2010","#mobile/100c","WGI_2011va","WGI_2011npv","WGI_2011ge","TBD","GNIpc","hb","hw","hw","hw","hw","hw","hb","hw","hb","hw","hw","hb"
"HRV","CROATIA","61,12846","0,76718","132,60825","64,92891","67,45283","#NAME?",,"16.388,59081","-6,06000","14,31000","0,00051","1,40000","9,99990","42,72000","10,23000","0,70000","98,57676","80,00000","5,10000","32,77482"
"CUB","CUBA","27,68736","..","2,96068","4,73934","45,75472","#NAME?",,"..","-8,25500","65,39000","1,13297","19,00000","21,51102","24,34000","20,23800","11,10000","91,11904","60,00000","4,80000","0,00000"
"CYP","CYPRUS","73,28304","0,81032","117,89180","82,93839","57,54717","#NAME?",,"21.962,45614","-15,03000","8,32000","0,00073","4,10000","31,55128","30,10000","8,36000","2,40000","100,00000","200,00000","3,50000","25,85709"
"CZE","CZECH REPUBLIC","70,42432","0,84146","132,19226","82,46445","81,13208","#NAME?",,"22.678,38986","5,05000","8,32000","0,02924","0,00000","19,61977","26,50000","16,93000","0,00000","99,43883","200,00000","3,10000","1000"
"DNK","DENMARK","78,64413","0,86577","124,90851","99,05213","85,84906","#NAME?",,"36.404,40783","8,83500","-18,14000","0,00000","20,50000","21,16667","13,32000","16,68600","16,90000","100,00000","120,00000","3,70000","13,47355"
"DJI","DJIBOUTI","54,50061","0,40200","13,28804","15,63981","63,20755","#NAME?",,"2.471,38280","7,26500","27,62000","2,36457","3,20000","6,33333","12,70000","0,62000","7,10000","74,58493","220,00000","75,95000","2,90822"
"DMA","DOMINICA","63,25530","..","136,62431","76,77725","73,11321","#NAME?",,"8.548,75002","-13,32000","65,39000","0,19468","100,00000",,"26,08000","5,17000","100,00000",,"90,00000","9,30000","14,82706"
"DOM","DOMINICAN REPUBLIC","59,97884","0,66343","72,44743","52,13270","49,05660","#NAME?",,"8.272,55728","-2,20500","65,39000","0,32172","4,30000","16,14670","30,98000","5,60000","2,10000","83,90514","220,00000","27,21000","15,97418"
"ECU","ECUADOR","47,05621","0,69502","85,61475","40,28436","20,75472","#NAME?",,"7.931,23732","3,34000","47,92000","0,11410","1,70000","3,93056","34,42000","4,53000","5,80000","86,71098","90,00000","21,10000","7,66869"
"EGY","EGYPT","59,08692","0,61978","50,62419","15,16588","24,52830","#NAME?",,"5.889,20215","0,13000","-18,80000","0,00268","3,40000","200,00000","57,28000","6,84000","9,40000","79,19618","230,00000","19,75000","10,10611"
